id,timestamp,text,link,is_retweet,retweets,favorites,replies
681155823729508352,8:52 am - 27 Dec 2015,"""@isabellegirlxo: @realDonaldTrump @JebBush @ananavarro @secupp @CNN Ana is an illegal who needs to be deported""  No, she's just incompetent",https://twitter.com/realDonaldTrump/status/681155823729508352,false,831,2.7K,252
681155057136578563,8:49 am - 27 Dec 2015,".@BernieSanders-who blew his campaign when he gave Hillary a pass on her e-mail crime, said that I feel wages in America are too high. Lie!",https://twitter.com/realDonaldTrump/status/681155057136578563,false,1.9K,5.0K,1.8K
681152682296475652,8:40 am - 27 Dec 2015,"""@DavidSadler2525: @realDonaldTrump What's going on in VA? What's the GOP doing?  They will lose the state because of the RNC!",https://twitter.com/realDonaldTrump/status/681152682296475652,false,1.1K,2.9K,250
681151292195127296,8:34 am - 27 Dec 2015,"Why are @JebBush flunkies  @ananavarro and @secupp, two of the dumbest people in politics, always on the @CNN panels..and yet Poll:Trump 39",https://twitter.com/realDonaldTrump/status/681151292195127296,false,1.4K,3.8K,592
681148934685855744,8:25 am - 27 Dec 2015,The voters the Republican Party of Virginia are excluding will doom any chance of victory. The Dems LOVE IT! Be smart and win for a change!,https://twitter.com/realDonaldTrump/status/681148934685855744,false,1.7K,4.2K,306
681147489534119936,8:19 am - 27 Dec 2015,R.P.Virginia has lost statewide 7 times in a row. Will now not allow desperately needed new voters. Suicidal mistake. RNC MUST ACT NOW!,https://twitter.com/realDonaldTrump/status/681147489534119936,false,1.7K,3.9K,250
681143660705099776,8:04 am - 27 Dec 2015,"It begins, Republican Party of Virginia, controlled by the RNC, is working hard to disallow independent, unaffiliated and new voters. BAD!",https://twitter.com/realDonaldTrump/status/681143660705099776,false,2.7K,5.3K,770
681140619897602048,7:52 am - 27 Dec 2015,"""@LegacyRealtorsJ: You will come out tops Mr Trump. You are sincere, genuine, hard working, honest and willl DO WHAT YOU PROMISE THE  PEOPLE",https://twitter.com/realDonaldTrump/status/681140619897602048,false,1.1K,3.4K,317
681109495007854593,5:48 am - 27 Dec 2015,"""@JimVitari: @realDonaldTrump @CAC8438 we need the change Trump is going to make, not the change Obama did by ruining the country""",https://twitter.com/realDonaldTrump/status/681109495007854593,false,1.1K,3.5K,442
681093849943543808,4:46 am - 27 Dec 2015,"""@CAC8438: He supports amnesty and now they are so desperate that Trey Gowdy is going to campaign with him.",https://twitter.com/realDonaldTrump/status/681093849943543808,false,968,2.6K,282
681093594648834048,4:45 am - 27 Dec 2015,"""@mitchellvii: My prediction on the Trey Gowdy endorsement of Rubio is that it will do nothing for Rubio and finish Gowdy.""",https://twitter.com/realDonaldTrump/status/681093594648834048,false,1.6K,3.7K,390
681093526990491648,4:45 am - 27 Dec 2015,"""@mitchellvii: Face it, Trey Gowdy failed miserably on Benghazi. He allowed it to drag out and in the end, let Hillary get away with murder.",https://twitter.com/realDonaldTrump/status/681093526990491648,false,2.3K,5.5K,600
681091509811306496,4:37 am - 27 Dec 2015,"""@Sir_Max: andreajmarkley: Rubio finally gets an endorsement – from #Benghazi loser Gowdy #Tcot #pjnet http://www.dailynewsbin.com/opinion/marco-rubio-finally-gets-an-endorsement-from-benghazi-loser-trey-gowdy/23364/ … via dailyne",https://twitter.com/realDonaldTrump/status/681091509811306496,false,919,2.1K,273
681088878128816128,4:26 am - 27 Dec 2015,I will be interviewed on @foxandfriends at 8:00. Will be talking about Hillary and far more interesting subjects. Enjoy!,https://twitter.com/realDonaldTrump/status/681088878128816128,false,973,3.8K,377
680947538896252928,7:05 pm - 26 Dec 2015,"I will do far more for women than Hillary, and I will keep our country safe, something which she will not be able to do-no strength/stamina!",https://twitter.com/realDonaldTrump/status/680947538896252928,false,4.0K,11K,1.7K
680932364906819584,6:05 pm - 26 Dec 2015,"Thank you! #Trump2016
https://www.facebook.com/DonaldTrump/posts/10156462054585725:0 …pic.twitter.com/XNV9Bg2ccY",https://twitter.com/realDonaldTrump/status/680932364906819584,false,2.3K,7.7K,599
680908733455708160,4:31 pm - 26 Dec 2015,"Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM, so inappropriate!",https://twitter.com/realDonaldTrump/status/680908733455708160,false,4.4K,10K,2.6K
680897754751713280,3:47 pm - 26 Dec 2015,"""@greta: If the insurance companies are making lots of money and the # of uninsured is still large,Obamacare is a failure since so expensive",https://twitter.com/realDonaldTrump/status/680897754751713280,false,2.0K,6.8K,670
680877571542790144,2:27 pm - 26 Dec 2015,A new terror warning was issued for European cties. At what point do we say we have had enough and get really tough and smart. Weak leaders!,https://twitter.com/realDonaldTrump/status/680877571542790144,false,4.8K,11K,1.4K
680807045562515456,9:47 am - 26 Dec 2015,"#MakeAmericaGreatAgain #Trump2016 
Story: https://www.facebook.com/DonaldTrump/posts/10156460622260725 …pic.twitter.com/wm9Y7E9RzB",https://twitter.com/realDonaldTrump/status/680807045562515456,false,1.5K,4.2K,446
680752844220329984,6:11 am - 26 Dec 2015,Criminal deportations in the U.S. are the lowest number in many years. We are letting criminals knowingly stay in our country. MUST CHANGE!,https://twitter.com/realDonaldTrump/status/680752844220329984,false,4.3K,11K,1.2K
680734915718176768,5:00 am - 26 Dec 2015,"The Phoenix V.A., it has just been reported, is in worse shape than ever before. The wait is horrendous, and people are dying. I will fix it",https://twitter.com/realDonaldTrump/status/680734915718176768,false,2.8K,7.9K,962
680505672476262400,1:49 pm - 25 Dec 2015,"The same people that said I wouldn't run, or that I wouldn't lead or do well (1st place and leading by 21%), now say I won't beat Hillary.",https://twitter.com/realDonaldTrump/status/680505672476262400,false,4.9K,12K,2.4K
680503951440121856,1:42 pm - 25 Dec 2015,.@chucktodd is so dishonest in his reporting...and to think he was going off the air until I came along-no ratings. I will beat Hillary!,https://twitter.com/realDonaldTrump/status/680503951440121856,false,1.7K,6.0K,802
680496083072593920,1:11 pm - 25 Dec 2015,"@CNN just announced that TRUMP was #1 story of 2015. Totally meaningless, however, if we don't WIN IT ALL and Make America Great Again!",https://twitter.com/realDonaldTrump/status/680496083072593920,false,1.3K,3.1K,317
680492103722479616,12:55 pm - 25 Dec 2015,"""@deedeegop: Thank u Mr. Trump, I look forward to when u are elected next President of the United States #MakeAmericaGreatAgain. So nice!",https://twitter.com/realDonaldTrump/status/680492103722479616,false,1.0K,4.1K,241
680491214337130496,12:52 pm - 25 Dec 2015,"""@JodiL792:  You know what's making my Christmas Great, Family/food/friends&YOU! I HAVE MY TRUMP SHIRT ON W/HOPE IN MY HEART for America""",https://twitter.com/realDonaldTrump/status/680491214337130496,false,940,3.7K,189
680491090315767808,12:51 pm - 25 Dec 2015,"""@Jacobsac2015:  @FoxNews Thank you for your tweet today on Christmas. Can't wait to see you as President, Mr. Trump. You are awesome.""",https://twitter.com/realDonaldTrump/status/680491090315767808,false,741,3.2K,120
680490678594482176,12:49 pm - 25 Dec 2015,"""@ClassySnobbb: @realDonaldTrump @FoxNews I'm reading #CrippledAmerica! Best book ever. Thank you!",https://twitter.com/realDonaldTrump/status/680490678594482176,false,649,2.5K,142
680489467245936641,12:45 pm - 25 Dec 2015,"When will the Democrats, and Hillary in particular, say ""we must build a wall, a great wall, and Mexico is going to pay for it?"" Never!",https://twitter.com/realDonaldTrump/status/680489467245936641,false,2.0K,5.7K,1.1K
680486088255909888,12:31 pm - 25 Dec 2015,"Our great VETERANS are being treated very badly because of corruption and incompetence at the V.A. That will stop, I will fix this quickly!",https://twitter.com/realDonaldTrump/status/680486088255909888,false,3.4K,9.2K,858
680484330494386176,12:24 pm - 25 Dec 2015,Remember when failed candidate @JebBush said that illegals came across the border as AN ACT OF LOVE? He's spent $59 million and is at 3%.,https://twitter.com/realDonaldTrump/status/680484330494386176,false,2.1K,6.4K,701
680481995374329856,12:15 pm - 25 Dec 2015,"We have many problems in our house (country!), and we need to fix them before we let visitors come over and stay. MAKE AMERICA GREAT AGAIN!",https://twitter.com/realDonaldTrump/status/680481995374329856,false,3.3K,8.9K,881
680480963068051456,12:11 pm - 25 Dec 2015,"Does everyone see that the Democrats and President Obama are now, because of me, starting to deport people who are here illegally. Politics!",https://twitter.com/realDonaldTrump/status/680480963068051456,false,3.0K,8.4K,1.2K
680472651756736512,11:38 am - 25 Dec 2015,".@deedeesorvino was GREAT today on @FoxNews  She gets what is going on in politics, and sees it very clearly. Have her on more!",https://twitter.com/realDonaldTrump/status/680472651756736512,false,841,3.0K,213
680220409262911488,6:55 pm - 24 Dec 2015,"Merry Christmas to all. Have a great day and have a really amazing year. Together, we will MAKE AMERICA GREAT AGAIN! It will be done!",https://twitter.com/realDonaldTrump/status/680220409262911488,false,10K,27K,3.1K
